numer,Adres,Granice obwodu
68,"Kraków-Śródmieście, Prądnik Czerwony ul. Strzelców 5a","ALEJA GENERAŁA BORA KOMOROWSKIEGO Nr 9, 9 a, 15, 15 a, b, 17, 23, 33, ALINY, BALLADYNY, BRZECHWY, DOBREGO PASTERZA parzyste od 118 do 122 i nieparzyste od 125, HARNASIÓW, JANOSIKA, KRZESŁAWICKA (bez 2 a, 2 b), LIRYCZNA, NIKIFORA, ROZRYWKA 20, SŁONECKIEGO"
69,"Kraków-Śródmieście, Prądnik Czerwony ul. Sadzawki 1","AKACJOWA 10, 12, CIEŚLEWSKIEGO nieparzyste"
70,"Kraków-Śródmieście, Prądnik Czerwony ul. Sadzawki 1","DZIELSKIEGO, MŁYŃSKA BOCZNA nieparzyste, XX. PIJARÓW"
71,"Kraków-Śródmieście, Prądnik Czerwony ul. Sadzawki 1","AKACJOWA (bez 10, 12), CIEŚLEWSKIEGO parzyste, PILOTÓW nieparzyste od 53 do 97 i parzyste od 20a do 68, PSZONA, UŁANÓW nieparzyste od 33 do 63 i parzyste od 52 do 80, WYSOKA"
72,"Kraków-Śródmieście, Prądnik Czerwony ul. Młyńska Boczna 4","MŁYŃSKA BOCZNA 4, MŁYŃSKA parzyste od 2 do 14, SADZAWKI"
73,"Kraków-Śródmieście, Prądnik Czerwony ul. Stanisława ze Skalbmierza 7","BROGI parzyste, DOBRA, JAŚMINOWA, KANONIERÓW, MIESZKA I, PARTYZANTÓW, PIĘKNA, PILOTÓW 2, 2a, 2b, 2c, 2d, 4, PTASIA, SAPERÓW, SOKOŁOWSKIEGO, SZWOLEŻERÓW"
74,"Kraków-Śródmieście, Prądnik Czerwony ul. Stanisława ze Skalbmierza 7","BOHATERÓW WIETNAMU, MIECHOWITY parzyste od 8 do 10 i 18, MŁYŃSKA 5, 7, 7a, 9, PILOTÓW parzyste od 6 do 20, STANISŁAWA ZE SKALBMIERZA"
75,"Kraków-Śródmieście, Prądnik Czerwony ul. Stanisława ze Skalbmierza 7","BOSAKÓW, CZEREŚNIOWA, LUBLAŃSKA parzyste od 6 do 20, MALAWSKIEGO, MIECHOWITY od 1 do 6, OLSZTYŃSKA, ŚRODKOWA, TURKUSOWA, WIENIAWSKIEGO"
76,"Kraków-Śródmieście, Prądnik Czerwony ul. Stanisława ze Skalbmierza 7","LUBLAŃSKA parzyste od 22 do 30, MIECHOWITY nieparzyste od 7 do 21, MŁYŃSKA 11"
77,"Kraków-Śródmieście, Prądnik Czerwony ul. Pilotów 51","BAJANA, CHAŁUPNIKA, KAJTY, KRZYWOŃ, MAJOWA, MEISSNERA od 1 do 15, 20, NIEZNANA, PILOTÓW nieparzyste od 1 do 51, PODMIEJSKA, RACIBORSKIEGO, ROZMARYNOWA, STARTOWA, SWOJSKA, WIDNA, WIEJSKA, ŻWIRKI i WIGURY"
78,"Kraków-Śródmieście, Prądnik Czerwony ul. Seniorów Lotnictwa 5","FIOŁKOWA, SENIORÓW LOTNICTWA, SPADOCHRONIARZY, UGOREK parzyste od 2 do 4, UŁANÓW nieparzyste od 17 do 31 i parzyste od 46 do 48"
79,"Kraków-Śródmieście, Prądnik Czerwony ul. Seniorów Lotnictwa 5",UGOREK parzyste od 6 do 20
80,"Kraków-Śródmieście, Prądnik Czerwony ul. Ułanów 3","UGOREK nieparzyste od 1 do 3, UŁANÓW nieparzyste od 7 do 15 i parzyste od 16 do 42, WŁODKOWICA nieparzyste od 1 do 7"
81,"Kraków-Śródmieście, Prądnik Czerwony ul. Ułanów 3","JANICKIEGO, ŁĄKOWA, MEISSNERA nieparzyste od 17 do 35, NIEDUŻA, UŁANÓW nieparzyste od 1 do 5a i parzyste od 2 do 14, WŁODKOWICA parzyste od 2 do 8"
82,"Kraków-Śródmieście, Prądnik Czerwony ul. Łąkowa 31","KANTORA, MEISSNERA 32, ŚLICZNA"
83,"Kraków-Śródmieście, Prądnik Czerwony ul. Łąkowa 31","ALEJA JANA PAWŁA II 11, 13, 19A i parzyste od 2 do 68, CZYŻYŃSKA (bez 21, 21A), ŁADNA, MEISSNERA parzyste od 34 do 48, MOGILSKA nieparzyste od 101 (bez 109) i parzyste od 114, OGRODNICZA, OSTATNIA, SZENWALDA, SZKÓŁKOWA"
84,"Kraków-Krowodrza, Prądnik Biały ul. Stawowa 179","BUDRYSÓW, DZIEWANNY, MARGARETEK, NA POLACH, NA WYRĘBĘ, NAWOJOWSKA, OJCOWSKA, OKRĘŻNA, PASTERNIK parzyste, PEJZAŻOWA, STAREGO DĘBU, STAWOWA nieparzyste od 189 i parzyste od 180, SZAROTKI, ZABORSKA"
85,"Kraków-Krowodrza, Prądnik Biały ul. Stawowa 179","BISKUPA GAWLINY, CHEŁMOŃSKIEGO od 70A, CHMURNA, DZIELNA, GENERAŁA KIWERSKIEGO, GENERAŁA KUKIELA, GENERAŁA OLSZYNY-WILCZYŃSKIEGO, GENERAŁA PEŁCZYŃSKIEGO, HOŻA, JASNOGÓRSKA, KACZMARCZYKA, KALENKIEWICZA, KASZNICY, LAZUROWA, PIASKOWA, PROFESORA MIĘSOWICZA, RADZIKOWSKIEGO parzyste od 150, SŁOTNA, SMĘTNA, SOSNOWIECKA, STAWOWA nieparzyste od 55 do 181 i parzyste od 18 do 178, STELMACHÓW od 34, ŚMIAŁA, TUMANOWICZA, WALECZNA"
86,"Kraków-Krowodrza, Prądnik Biały ul. Chełmońskiego 24","BERWIŃSKIEGO, MEHOFFERA nieparzyste od 3 do 11 i parzyste od 2 do 6, MODRZEJEWSKIEJ nieparzyste od 1 do 21 i parzyste od 2 do 14a, STACHIEWICZA nieparzyste od 35 do 41 i parzyste od 26 do 52, WIELKOTYRNOWSKA nieparzyste od 1 do 37 i parzyste od 2 do 24 (bez 16 i 16a), 28"
87,"Kraków-Krowodrza, Prądnik Biały ul. Chełmońdskiego 24","CHEŁMOŃSKIEGO od 1 do 41, CHEŁMOŃSKIEGO-DEPTAK, EHRENBERGA, ELSNERA parzyste od 20 do 24, MURARSKA, NAŁKOWSKIEGO, NISKA, RADZIKOWSKIEGO parzyste od 10 do 30, STACHIEWICZA parzyste od 6 do 24, STANISŁAWSKIEGO, WODZINOWSKIEGO, WYSOCKIEGO"
88,"Kraków-Krowodrza, Prądnik Biały ul. Chełmońskiego 24","ELSNERA nieparzyste od 7 do 21, GDYŃSKA, MAKOWSKIEGO 20, 22, MEHOFFERA od 12, RÓŻYCKIEGO, WEISSA parzyste od 14 do 20"
89,"Kraków-Krowodrza, Prądnik Biały ul. Radzikowskiego 29","ELSNERA 1, 3, parzyste od 4 do 18, GNIEŹNIEŃSKA nieparzyste od 1a do 33 i parzyste od 2 do 18, JAREMY nieparzyste od 1 do 19a, LENTZA, RADZIKOWSKIEGO nieparzyste od 3 do 15 i parzyste od 34 do 62, WEISSA 4, 8, ZYGMUNTOWSKA od 2 do 23 (bez 22)"
90,"Kraków-Krowodrza, Prądnik Biały ul. Czerwieńskiego 1","PODKOWIŃSKIEGO, RADZIKOWSKIEGO nieparzyste od 61 do 81 i parzyste od 114 do 138"
91,"Kraków-Krowodrza, Prądnik Biały ul. Czerwieńskiego 1",RADZIKOWSKIEGO nieparzyste od 17 do 51 i parzyste od 70 do 106D
92,"Kraków-Krowodrza, Prądnik Biały ul. Czerwieńskiego 1","GNIEŹNIEŃSKA parzyste od 18b do 26, JAREMY 12, 14, 14a, 14b, PUŻAKA 27, 29, ZYGMUNTOWSKA nieparzyste od 25 i parzyste od 22"
93,"Kraków-Krowodrza, Prądnik Biały ul. Czerwieńskiego 1","PUŻAKA nieparzyste od 3 do 25 i parzyste od 2 do 8, RADZIKOWSKIEGO 66"
94,"Kraków-Krowodrza, Prądnik Biały ul. Czerwieńskiego 1","CONRADA, CZERWIEŃSKIEGO, FISZERA, JAREMY nieparzyste od 21 do 25 i 41b, SŁOWICZA, WILCZA"
95,"Kraków-Krowodrza, Prądnik Biały ul. Stachiewicza 33","POD FORTEM, RACŁAWICKA 57, 92, STACHIEWICZA nieparzyste od 7 do 33, STYKI, WŁADYSŁAWA ŁOKIETKA 39 i 60, WYBICKIEGO 7, 17 i od 30 do 52"
96,"Kraków-Krowodrza, Prądnik Biały ul. Stachiewicza 33",PALACHA
97,"Kraków-Krowodrza, Prądnik Biały ul. Stachiewicza 33","MAKOWSKIEGO 1, 5, 8, 18, 60, MODRZEJEWSKIEJ parzyste od 16, STACHIEWICZA 45, 47, 58, 60, WIELKOTYRNOWSKA 16, 16a, 39"
98,"Kraków-Krowodrza, Prądnik Biały ul. Siemaszki 17d","KSIĘDZA SIEMASZKI nieparzyste od 13a do 33 (bez 17c) i parzyste od 4 do 34, PIELĘGNIAREK"
99,"Kraków-Krowodrza, Prądnik Biały ul. Zdrowa 6","BRATYSŁAWSKA, DOKTORA TWARDEGO, KSIĘDZA SIEMASZKI nieparzyste od 37 do 43a i parzyste od 38 do 64, LEKARSKA, PRĄDNICKA nieparzyste od 41 do 89 i parzyste od 46 do 76"
100,"Kraków-Krowodrza, Prądnik Biały ul. Zdrowa 6","BIAŁA, GENERAŁA FIELDORFA-NILA, KORCZAKA, PRĄDNICKA nieparzyste od 95 do 125 i parzyste od 78 do 80a (bez 80), ZDROWA"
101,"Kraków-Krowodrza, Prądnik Biały ul. Zdrowa 6","JARACZA, KONECZNEGO, REJA (bez 9), SOLSKIEGO"
102,"Kraków-Krowodrza, Prądnik Biały ul. Zdrowa 6","BOBRZECKIEJ, FRYCZA-MODRZEWSKIEGO, REJA 9, ŻABINIEC, ŻMUJDZKA nieparzyste od 25 do 45, 49 i parzyste od 18 do 32"
103,"Kraków-Krowodrza, Prądnik Biały ul. Mackiewicza 15","SIEWNA 21, 21A, 21B, 21C, 21D, ZAWODZIE"
104,"Kraków-Krowodrza, Prądnik Biały ul. Mackiewicza 15","BOCIANA, JABŁONNA, KRĘTA, NAD STRUGĄ 9, OSIEDLE MOZARTA, POLNA, SIEWNA parzyste od 2 do 32A"
105,"Kraków-Krowodrza, Prądnik Biały ul. Mackiewicza 15","GÓRNICKIEGO nieparzyste od 9 do 35 i parzyste od 8 do 26, HERWINA-PIĄTKA, LECHONIA, PACHOŃSKIEGO 28, 30, 32, 32a, 32b, 34, 69, ROKOSZA"
106,"Kraków-Krowodrza, Prądnik Biały ul. Mackiewicza 15","MACKIEWICZA od 13, SIEWNA 23, 23A, 23B"
107,"Kraków-Krowodrza, Prądnik Biały ul. Mackiewicza 15","BAŁTYCKA, IMBRAMOWSKA, JAZOWA, MACKIEWICZA od 1 do 12, NARUTOWICZA, PAPIERNICZA"
108,"Kraków-Krowodrza, Prądnik Biały ul. Mackiewicza 15","BURSZTYNOWA, GRAŻYNY, KOŁACZY, LEGNICKA, LITAWORA, SYRENY, SZAFIROWA, TURYSTYCZNA, ZGODY"
109,"Kraków-Krowodrza, Prądnik Biały ul. Pigonia 2","BIAŁOPRĄDNICKA, BULARNIA, GÓRNICKIEGO 2, 3, 6, KLUZEKA (bez 6), NAD SUDOŁEM od 31 do 75 i 98, PLESZOWSKA, PROSZOWICKA, SZOPKARZY"
110,"Kraków-Krowodrza, Prądnik Biały ul. Pigonia 2","GLOGERA, JARZYNOWA, JASNA, KOSMONAUTÓW, MALINOWA, MATKI TAJBER, MĄCZNA, PASTEURA, PIASZCZYSTA, PIGONIA, RYBAŁTOWSKA, ZAREMBY, ZIELIŃSKA, ZIMOROWICZA, ŻWIROWA"
111,"Kraków-Krowodrza, Prądnik Biały ul. Danka 1","DANKA, GROCHOWIAKA, NAD SUDOŁEM od 12 do 30, PACHOŃSKIEGO parzyste od 8 do 18"
112,"Kraków-Krowodrza, Prądnik Biały ul. Batalionu ""/Skała""/ AK 12","BLISKA, BUKIETOWA, JORDANOWSKA, NA CHAŁUPKACH, NAD SUDOŁEM 6, 8, 10, NAWIGACYJNA, OWSIANA, PACHOŃSKIEGO od 2 do 6a, PĘKOWICKA (bez 77 i 204), PÓŁNOCNA, SKRAJNA, STELMACHÓW parzyste od 18 do 24, TOMKOWICZA, VETULANIEGO, WEWNĘTRZNA, WŁADYSŁAWA ŁOKIETKA od 83 do 124, WYKI"
113,"Kraków-Krowodrza, Prądnik Biały ul. Batalionu ""/Skała""/ AK 12","KROWODERSKICH ZUCHÓW 12, 14, 16, 18, 20, OPOLSKA"
114,"Kraków-Krowodrza, Prądnik Biały ul. Batalionu ""/Skała""/ AK 12","BATALIONU ""/SKAŁA""/ AK, KROWODERSKICH ZUCHÓW 23, 24, 25, 26, 28"
115,"Kraków-Krowodrza, Prądnik Biały ul. Kluczborska 3","KLUCZBORSKA, KROWODERSKICH ZUCHÓW 4, 11, 13, 15, 15a, 15c, 17, 19"
116,"Kraków-Krowodrza, Prądnik Biały ul. Kluczborska 3","KROWODERSKICH ZUCHÓW 3, 3a, 5, 7, 9, WYBICKIEGO 2"
117,"Kraków-Krowodrza, Prądnik Biały ul. Kluczborska 3","RUSZNIKARSKA nieparzyste od 1 do 11, WŁADYSŁAWA ŁOKIETKA nieparzyste od 47 do 59, WYBICKIEGO 14, 16"
118,"Kraków-Krowodrza, Prądnik Biały ul. Kluczborska 3","RUSZNIKARSKA nieparzyste od 13 do 21 i parzyste od 6 do 20, RUSZNIKARSKA-DEPTAK, WYBICKIEGO 1, 1b, 3, 3a, 5, 8, 10"
119,"Kraków-Krowodrza, Prądnik Biały ul. Kaczorówka 4","AZALIOWA, CHABROWA, FRYCZA, GAIK, GENERAŁA PASZKOWSKIEGO, GOSPODARSKA, GRYCZANA, JĘCZMIENNA, JURAJSKA, KACZORÓWKA, KONOPNA, LNIANA, MACIEJKOWA, MIĘTOWA, NA BUDZYNIU, NA MOSTKACH, NA ZIELONKI, ORLICH GNIAZD, PĘKOWICKA 77 i 204, POTOCZEK, POZIOMKOWA, SKOTNICA, WALISZEWSKIEGO, WŁADYSŁAWA ŁOKIETKA od 126, ZEFIROWA"
120,"Kraków-Krowodrza, Prądnik Biały ul. Porzeczkowa 3","ARSENAŁ, BELWEDERCZYKÓW, BIBICKA, DOŻYNKOWA, DRÓŻNICKA, GŁOGOWA, GÓRKA NARODOWA, GÓRNICKIEGO nieparzyste od 37 i parzyste od 28, KOŁO BIAŁUCHY, KORALOWA, NOWA GÓRKA, OKULISTÓW, OSIEDLE WITKOWICE NOWE, PORZECZKOWA, RYSIEWICZA, SIEWNA parzyste od 52, 25 i 25a, STEFANOWICZA, SUCHE ŁĄKI, TUROWIEC, URODZAJNA, WĄDÓŁ, WITKOWICKA, ZIELONE WZGÓRZE"
121,"Kraków-Krowodrza, Prądnik Biały ul. Porzeczkowa 3","KUŹNICY KOŁŁĄTAJOWSKIEJ nieparzyste 13C, 13D i od 17 oraz parzyste od 18, NATANSONA, SŁOMCZYŃSKIEGO"
122,"Kraków-Krowodrza, Prądnik Biały al. 29 Listopada 102",KUŹNICY KOŁŁĄTAJOWSKIEJ od 1 do 13B i od 14 do 16D
123,Kraków-Krowodrza al. 29 Listopada 102,"ALEJA 29 LISTOPADA nieparzyste od 153 i parzyste od 162, BANACHA, MARCZYŃSKIEGO, POTOCKIEGO"
124,Kraków-Krowodrza ul. Arcybiskupa Felińskiego 35,"ARCYBISKUPA FELIŃSKIEGO, GRABCZAKA, KSIĘDZA MEIERA"
125,Kraków-Krowodrza ul. Skarbińskiego 5,"BUSZKA, BYDGOSKA, GRAMATYKA, LEA parzyste od 46 do 100, MISJONARSKA, NAWOJKI 4 i od 6 do 8 oraz 23, 25, PIASTOWSKA nieparzyste od 47 do 51, ROLNICZA, SKARBIŃSKIEGO"
126,Kraków-Krowodrza ul. Skarbińskiego 5,"ARMII KRAJOWEJ nieparzyste od 5 do 53, BAKAŁARZY, BRĄZOWNICZA, BUDRYKA, HAMERNIA 1, KAWIORY, KONWISARZY, MIECHOWSKA, MYDLNICKA (bez 12, 20), NAWOJKI 9, ODLEWNICZA (bez 1, 3), PIASTOWSKA 22, 26, 26a, PYJASA, REYMONTA nieparzyste od 21, ROSTAFIŃSKIEGO, SPIŻOWA, TOKARSKIEGO, TORUŃSKA"
127,Kraków-Krowodrza ul. Skarbińskiego 5,"CHMIELA, LEA nieparzyste od 93 do 121, OBOPÓLNA, PIASTOWSKA nieparzyste od 53 do 57, SMOLUCHOWSKIEGO, WARMIJSKA"
128,Kraków-Krowodrza ul. Skarbińskiego 5,"KRONIKARZA GALLA nieparzyste od 15 do 23, KRÓLEWSKA parzyste od 90 do 94, LEA nieparzyste od 75 do 81, STAFFA"
129,Kraków-Krowodrza ul. Reymonta 22,"AKADEMICKA, ALEJA 3 MAJA, ALEJA MICKIEWICZA parzyste, BENIOWSKIEGO, CHODOWIECKIEGO, CICHY KĄCIK, CZARNOWIEJSKA parzyste od 18 do 84, DOMEYKI, GOETLA, IGRCÓW, INGARDENA, KADRÓWKI, OLEANDRY, OLIMPIJSKA, PIASTOWSKA nieparzyste od 19 do 39a, RADWAŃSKIEGO, REYMANA, REYMONTA nieparzyste od 1 do 19a i parzyste od 4 do 44, TKACKA"
130,Kraków-Krowodrza al. Kijowska 3,"ALEJA KIJOWSKA 3, 8, 10, CHOCIMSKA nieparzyste od 1 do 31 i parzyste od 4 do 32, CZARNOWIEJSKA nieparzyste od 73 do 103, LEA parzyste od 20 do 36a, OGRODNICZEK, PLAC NOWOWIEJSKI, SPOKOJNA, URZĘDNICZA parzyste od 2 do 30, ZA TARGIEM"
131,Kraków-Krowodrza al. Kijowska 8,"ALEJA KIJOWSKA nieparzyste od 9 do 13 i parzyste od 12 do 16, CHOCIMSKA nieparzyste od 33 do 39 i parzyste 38, 40, KRONIKARZA GALLA parzyste od 18 do 24, KRÓLEWSKA parzyste od 56 do 88, LEA nieparzyste od 21a do 55, NOWOWIEJSKA nieparzyste od 29 do 37 i parzyste od 20 do 32, URZĘDNICZA parzyste od 34 do 48"
132,Kraków-Krowodrza ul. Zakątek 2,"ALEJA KIJOWSKA parzyste od 30 do 34, BYTOMSKA, KADECKA 1, 4, 6, 8, 10, KAZIMIERZA WIELKIEGO nieparzyste od 67 do 97 i parzyste od 108 do 144, KRONIKARZA GALLA nieparzyste od 1b do 11, KRÓLEWSKA nieparzyste od 61 do 69, RACŁAWICKA parzyste od 2 do 32a, ZAKĄTEK od 1 do 3"
133,Kraków-Krowodrza ul. Zakątek 2,"CZYŻEWSKIEGO, KAZIMIERZA WIELKIEGO nieparzyste od 103, PODCHORĄŻYCH 1, PRZESKOK, SIEMIEŃSKIEGO, ZAKĄTEK od 4 do 9, 11, 12, 13"
134,Kraków-Krowodrza ul. Zakątek 2,"ALEJA KIJOWSKA 22, 24, KAZIMIERZA WIELKIEGO parzyste od 58 do 104, KRONIKARZA GALLA parzyste od 2 do 12, KRÓLEWSKA nieparzyste od 45 do 59, NOWOWIEJSKA od 1 do 16, URZĘDNICZA parzyste od 52a do 64"
135,Kraków-Krowodrza ul. Urzędnicza 65,"ALEJA GROTTGERA parzyste od 2 do 66, BERENTA, BIERNACKIEGO, KAZIMIERZA WIELKIEGO nieparzyste od 1 do 61, KOŚCIELNA, KUJAWSKA, ŁOBZOWSKA 67, PLAC AXENTOWICZA 3, 5, 7, RACŁAWICKA nieparzyste od 1 do 21, SIENKIEWICZA od 18 do 27, URZĘDNICZA 65, 68, 68a, WYSPIAŃSKIEGO, ZBROJÓW"
136,Kraków-Krowodrza ul. Urzędnicza 65,"JÓZEFITÓW od 1 do 12, KAZIMIERZA WIELKIEGO parzyste od 2 do 54a, KRÓLEWSKA nieparzyste od 1 do 43, POMORSKA parzyste od 2 do 10, URZĘDNICZA nieparzyste od 49 do 59"
137,Kraków-Krowodrza ul. Sienkiewicza 4,"ALEJA SŁOWACKIEGO parzyste od 2 do 18a, LENARTOWICZA od 16 do 23, ŁOBZOWSKA parzyste od 46 do 52, PLAC AXENTOWICZA 4, 6, PLAC INWALIDÓW 6, 7, 8, POMORSKA nieparzyste od 1 do 9, SIENKIEWICZA od 1 do 15"
138,Kraków-Krowodrza ul. Czapińskiego 5,"CHOPINA nieparzyste od 17 do 33 i parzyste od 20 do 38, CZAPIŃSKIEGO, CZARNOWIEJSKA nieparzyste od 55 do 63, KONARSKIEGO parzyste od 2 do 34, LEA parzyste od 12b do 18, URZĘDNICZA nieparzyste od 1 do 29"
139,Kraków-Krowodrza ul. Czapińskiego 5,"JÓZEFITÓW od 14 do 21, KONARSKIEGO od 39 do 54, KRÓLEWSKA parzyste od 2 do 54, LEA nieparzyste od 5 do 19a, PLAC INWALIDÓW 3, 4, URZĘDNICZA nieparzyste od 35 do 47"
140,Kraków-Krowodrza ul. Konarskiego 2,"CHOPINA nieparzyste od 1 do 13 i parzyste od 4 do 18, CZARNOWIEJSKA nieparzyste od 41 do 51, KARŁOWICZA, KONARSKIEGO nieparzyste od 1 do 37, LEA parzyste od 4 do 12a, SYMFONICZNA, SZYMANOWSKIEGO"
141,Kraków-Krowodrza ul. Lubelska 27,"ALEJA SŁOWACKIEGO parzyste od 38 do 66, CIESZYŃSKA, LUBELSKA, MAZOWIECKA nieparzyste od 1 do 21, PRĄDNICKA 4, SŁOMNICKA, ŚLĄSKA, ŚWIĘTOKRZYSKA, WROCŁAWSKA parzyste od 8 do 24"
142,Kraków-Krowodrza ul. Mazowiecka 70,"OBOŹNA, POZNAŃSKA, RACŁAWICKA 55, SKŁADOWA od 15, WŁADYSŁAWA ŁOKIETKA od 1 do 32, WROCŁAWSKA nieparzyste od 11 do 55"
143,Kraków-Krowodrza ul. Mazowiecka 70,"ALEJA GROTTGERA nieparzyste od 1 do 37, ALEJA SŁOWACKIEGO parzyste od 24 do 36, GZYMSIKÓW, MAZOWIECKA parzyste od 2 do 46, SIENKIEWICZA parzyste od 30 do 34"
144,Kraków-Krowodrza ul. Mazowiecka 70,"KMIECA 19, LITEWSKA nieparzyste od 9 do 23, MAZOWIECKA nieparzyste od 23 do 39, WÓJTOWSKA nieparzyste od 1 do 13, WROCŁAWSKA parzyste od 26 do 56"
145,Kraków-Krowodrza ul. Mazowiecka 70,"KMIECA (bez 19), LITEWSKA nieparzyste od 37 do 49 oraz parzyste od 20 do 34 i 66, MAZOWIECKA nieparzyste od 41 do 55, RACŁAWICKA 39, 41, 47, WÓJTOWSKA 4, WROCŁAWSKA parzyste od 58 do 62"
146,Kraków-Krowodrza ul. Litewska 34,"AUGUSTYNKA-WICHURY, FRIEDLEINA, KAMIENNA parzyste do 14, ODROWĄŻA, PLATER, PRĄDNICKA nieparzyste do 31 i parzyste od 8 do 42, SKŁADOWA od 1 do 14, WROCŁAWSKA nieparzyste od 5 do 9, ZBOŻOWA"
147,"Kraków-Krowodrza, Bronowice Małe ul. Litewska 34","ALEJA KIJOWSKA parzyste od 44 do 66, MAZOWIECKA nieparzyste od 113 do 131, RACŁAWICKA parzyste od 40 do 54, WROCŁAWSKA nieparzyste od 75 do 97 i parzyste od 64 do 76"
148,"Kraków-Krowodrza, Bronowice Małe ul. Litewska 34","ALEJA GROTTGERA 43, ALEJA KIJOWSKA nieparzyste od 29 do 61, MAZOWIECKA parzyste od 60 do 108, RACŁAWICKA 29, 31, RZECZNA, WOJSKOWA, WROCŁAWSKA 78, 78a, 80"
149,"Kraków-Krowodrza, Bronowice Małe ul. Katowicka 28","BOYA-ŻELEŃSKIEGO, GENERAŁA WIENIAWY-DŁUGOSZOWSKIEGO 6, 8, 10, 22, GROSZKOWA, KATOWICKA, KSIĘDZA TRUSZKOWSKIEGO, NARCYZOWA, OSIEDLE ZŁOTA PODKOWA, PALMOWA, PASTERNIK nieparzyste, PEIPERA, POD STRZECHĄ, RADZIKOWSKIEGO nieparzyste od 97, TETMAJERA, WITKIEWICZA, ZIELONY MOST od 4 do 12a, ŻELEŃSKIEGO"
150,"Kraków-Krowodrza, Bronowice Małe ul. Na Błonie 15d","BALICKA nieparzyste od 1 do 53 i parzyste od 12 do 14b, NA BŁONIE 1, 3, 3a, 3b, 3c, 9a, ZIELONY MOST 2"
151,"Kraków-Krowodrza, Bronowice Małe ul. Na Błonie 15d",ARMII KRAJOWEJ nieparzyste od 77 do 87
152,"Kraków-Krowodrza, Bronowice Małe ul. Na Błonie 15d","ARMII KRAJOWEJ nieparzyste 89, 93, 97, BRONOWICKA 136, JABŁONKOWSKA, NA BŁONIE 15, 15a, 15b, 15c"
153,"Kraków-Krowodrza, Bronowice Małe ul. Na Błonie 15B","NA BŁONIE 9, 11, 11a, 13, 13a, 13b"
